company_id,created_date
"0400c6144ba079f","2019-10-25"
"66bbfaaf43aa161","2019-08-05"
"8a964e075913463","2019-05-02"
"449ff0bf3ed31ea","2019-02-26"
"c8e63373c9440e0","2019-02-27"
"22e9d1e2dc2b318","2019-09-09"
"a4f4c80a95c68fa","2019-12-12"
"a6db856a30d5bae","2019-12-11"
"adc80a5e816df20","2019-12-12"
"8f36b68d0949a2c","2019-05-21"
"b167e7a37523521","2019-03-26"
"1e74f5123fa1263","2019-08-12"
"2a183996c6c00fa","2019-07-22"
"f74ad4d94477591","2019-07-30"
"e28178a0055f489","2019-06-19"
"26a4dff161c341c","2019-12-09"
"dca0499cadef129","2019-03-06"
"ee336c9a6f525f4","2019-09-18"
"d35bbc5f05de9ae","2019-06-11"
"22e9d1e2dc2b318","2019-11-19"
"389bddde404451a","2019-04-29"
"9df0d71820cad12","2019-07-18"
"05ff722210a2150","2019-05-03"
"dec011722127aaf","2019-08-01"
"95274815f8363ee","2019-11-18"
"95274815f8363ee","2019-11-25"
"23f3378cb9b7251","2019-10-30"
"dae0051f01e8cfb","2019-11-25"
"095179daeb1daf8","2019-09-25"
"76ef6a7c94c83e1","2019-09-23"
"60c2b6bb0e98279","2019-07-10"
"0ec78db2c7be600","2019-05-10"
"f23c18308015dd8","2019-03-22"
"0c1da1941af4190","2019-09-09"
"dec011722127aaf","2019-11-13"
"762d45de7e16480","2019-03-25"
"b3ab2490ed5d150","2019-01-09"
"be972a1467dfad7","2019-01-26"
"b5fb6038a3afe45","2019-09-17"
"22e9d1e2dc2b318","2019-09-04"
"5ee0205233ef89f","2019-05-15"
"ee08aa5a318a5ce","2019-11-18"
"d6006d41c8baeea","2019-10-01"
"d6006d41c8baeea","2019-03-05"
"a691d2335572b51","2019-09-26"
"464a6a94a551026","2019-11-08"
"a33ed4bd73b1069","2019-03-12"
"a33ed4bd73b1069","2019-05-01"
"f0804e505e255c4","2019-10-21"
"1bfe0cf388e8a0f","2019-01-04"
"0400c6144ba079f","2019-12-13"
"460ba89da10817e","2019-08-26"
"98092e2846c5787","2019-12-10"
"caf90ccb702e583","2019-12-09"
"04852d4c89e2108","2019-12-06"
"95274815f8363ee","2019-09-13"
"b3ab2490ed5d150","2019-04-12"
"435ffd49c8f1e98","2019-09-23"
"e86363753fc4cd2","2019-05-31"
"66bbfaaf43aa161","2019-10-24"
"6345a801ef561e3","2019-01-16"
"89e4e4fb936f7b4","2019-11-07"
"7dafb45a04b25fb","2019-11-14"
"2b31ab3572ddb1e","2019-03-07"
"ee08aa5a318a5ce","2019-08-12"
"d6006d41c8baeea","2019-01-09"
"ffb7146bec8a6fa","2019-05-02"
"86c91f7a49971d1","2019-12-10"
"dd97864706e9e95","2019-09-05"
"d6ae33b5bd96184","2019-09-12"
"54673371fad09c4","2019-09-09"
"6df74d9fb710b70","2019-10-28"
"27f479218fe69d0","2019-10-31"
"e5b67c39d20fd08","2019-08-19"
"200c9fb51a35832","2019-06-18"
"c8e63373c9440e0","2019-12-12"
"bccfb35186c7fa3","2019-10-02"
"ee336c9a6f525f4","2019-05-16"
"9df0d71820cad12","2019-07-23"
"5ab2dfe276f4848","2019-11-04"
"6c0367c0ec80b87","2019-08-09"
"b866a6cb2396adc","2019-07-19"
"511e93333018312","2019-06-11"
"339d01c320ab4bc","2019-02-05"
"8f36b68d0949a2c","2019-09-10"
"2d4ee7a538d375a","2019-04-26"
"03566dfd768c564","2019-12-26"
"4243330e9cfa005","2019-02-28"
"5b36bfd7f44b5dd","2019-06-18"
"05ee239c0dfc5b8","2019-11-19"
"20764a62baca5b0","2019-10-18"
"9a9c7578797bf6e","2019-03-19"
"1bfe0cf388e8a0f","2019-10-29"
"0ec78db2c7be600","2019-04-10"
"56d335daba65957","2019-07-03"
"802684033c1c82e","2019-12-02"
"eaedc6072d76164","2019-07-16"
"4037e60754e3d95","2019-03-25"
"0226b29725833e3","2019-03-14"
"af7409defd61c2c","2019-06-07"
"6df74d9fb710b70","2019-04-26"
"cfbbe47331a68a5","2019-08-12"
"a33ed4bd73b1069","2019-09-24"
"cdcd11ee3dc7c50","2019-03-22"
"35b038f19232590","2019-05-16"
"8a964e075913463","2019-09-04"
"4bf8860db4770e1","2019-09-18"
"69fecf3f0a27c4b","2019-12-04"
"a6db856a30d5bae","2019-06-25"
"a6db856a30d5bae","2019-08-14"
"f23c18308015dd8","2019-01-31"
"f23c18308015dd8","2019-10-02"
"4ca35ac090a153e","2019-08-16"
"766120613ecaf74","2019-07-26"
"0f7be5c4eae2c4a","2019-05-24"
"c62e72d590019f0","2019-04-12"
"4037e60754e3d95","2019-04-30"
"d90b717bbcbd9f7","2019-01-05"
"af7409defd61c2c","2019-02-22"
"b62b2387e1341d3","2019-07-31"
"38b5ecc62b0254e","2019-10-28"
"e6946fa0c95efc6","2019-11-09"
"7a1aa152bf1ebf7","2019-12-05"
"095179daeb1daf8","2019-08-15"
"9b3a1776a73eacc","2019-07-17"
"6da5545be6d7836","2019-09-25"
"389bddde404451a","2019-06-19"
"cf3be48089ef26e","2019-08-20"
"8f36b68d0949a2c","2019-07-26"
"304561c3e814f82","2019-09-03"
"c507ba1b311bb83","2019-07-31"
"b7f157308659d6c","2019-09-06"
"fe2835f3902ef19","2019-09-25"
"d01d793df9f1753","2019-08-19"
"9baeac80552be0d","2019-12-05"
"5bd03a8686553e0","2019-09-09"
"b7a848dedb456d5","2019-02-24"
"5cddc0b68f8cbfb","2019-08-26"
"b768a2856db3626","2019-11-08"
"b768a2856db3626","2019-09-20"
"b05b7528af7218e","2019-03-05"
"0b3c2688916ecbd","2019-10-09"
"69bfad5103870c0","2019-04-26"
"8f5821bff2a5c77","2019-11-04"
"a279698f46f1840","2019-12-18"
"ff127dc9fbb7636","2019-12-13"
"f23c18308015dd8","2019-12-06"
"129c93af2329efc","2019-06-11"
"d6006d41c8baeea","2019-06-24"
"436e14c59efb4e5","2019-06-14"
"4ca35ac090a153e","2019-06-21"
"339d01c320ab4bc","2019-04-11"
"a691d2335572b51","2019-07-25"
"5d39951cc09e809","2019-01-11"
"54673371fad09c4","2019-03-02"
"8b8036a84c9e56a","2019-09-11"
"c62e72d590019f0","2019-09-09"
"9d95b562c8aee95","2019-05-10"
"a1631fb70abe06e","2019-04-01"
"04b524be56b0305","2019-06-26"
"a6db856a30d5bae","2019-05-25"
"f21c34408a6576f","2019-08-22"
"f23c18308015dd8","2019-04-16"
"912a5b9ed145e09","2019-09-03"
"d6006d41c8baeea","2019-03-28"
"762d45de7e16480","2019-07-11"
"061fa502c802bdd","2019-03-22"
"c71dedbe032c518","2019-02-07"
"fbffe2fd718abbb","2019-11-17"
"049fabbd4807a45","2019-09-19"
"9fbc743b5973eec","2019-05-13"
"90760dcefbc2b50","2019-11-29"
"cc5746fb4974beb","2019-11-01"
"c1913c4a9f483a2","2019-09-16"
"aac8171df1bc019","2019-07-10"
"1ac0e56eed772c7","2019-11-13"
"4cc022986634530","2019-03-06"
"d114ceb1421ecae","2019-08-30"
"fc9d9436161e0b2","2019-08-17"
"5dbc09cfc7841ed","2019-06-03"
"766f8212fb89a70","2019-11-11"
"8a5ac3326ce1b2b","2019-09-17"
"cce5adae692495e","2019-05-31"
"20764a62baca5b0","2019-05-01"
"bde8c4f085c9ce5","2019-10-02"
"d01d793df9f1753","2019-01-11"
"54673371fad09c4","2019-05-10"
"e42f03def7320e5","2019-09-20"
"03566dfd768c564","2019-08-12"
"c62e72d590019f0","2019-02-15"
"af7409defd61c2c","2019-04-24"
"7597fb4bfe80a2e","2019-12-12"
"dca0499cadef129","2019-11-20"
"e6946fa0c95efc6","2019-08-05"
"0793555900c09f3","2019-10-01"
"dec55b8f6e1d51d","2019-03-29"
"3f5c3dec8a587ee","2019-06-14"
"404128e57a359e0","2019-10-11"
"5408b7f01f8cf41","2019-03-26"
"a6db856a30d5bae","2019-08-12"
"0ec78db2c7be600","2019-01-29"
"906f4ecdeb22c3b","2019-12-09"
"95274815f8363ee","2019-04-12"
"cf3be48089ef26e","2019-04-26"
"744f52f1aec3843","2019-09-12"
"d3c3b5274f9c23b","2019-07-12"
"b6d3f2ca966c0bc","2019-12-20"
"30c40fba7a6ced5","2019-01-16"
"afc283f2aa7f559","2019-10-15"
"a6ddd83cce9433b","2019-09-09"
"f58dae9439b921d","2019-04-08"
"e4363137ee96615","2019-10-17"
"18a5a778029d9a4","2019-02-25"
"e1ff03462adf692","2019-11-19"
"d1a6e359d13dcfa","2019-05-02"
"64477ac76c4248f","2019-07-18"
"9757b3062f066b6","2019-10-18"
"a97b486ac28f4d8","2019-11-20"
"f29cb92d90f439c","2019-02-27"
"7e96f9770558834","2019-12-06"
"86253a728860c25","2019-03-12"
"c1913c4a9f483a2","2019-03-12"
"43da9b36b80da4e","2019-06-18"
"e90083322c6f22f","2019-03-18"
"98381293d6b2a1e","2019-08-05"
"cd1d9c612d6fdf1","2019-09-26"
"d26c28df784bc8b","2019-06-13"
"cce5adae692495e","2019-12-05"
"a2b03c77830b418","2019-11-14"
"d888f8020ca99e7","2019-07-19"
"b6e40cf78e7beb5","2019-05-15"
"0dfdfcc0cbda4ed","2019-10-01"
"83b0dcf7d543094","2019-03-21"
"d89f857e6020908","2019-06-03"
"1ac0e56eed772c7","2019-08-27"
"3ed3e9385c3ddff","2019-10-15"
"3ed3e9385c3ddff","2019-03-12"
"4197e26457e7485","2019-02-13"
"d26c28df784bc8b","2019-11-14"
"e76ff98cb9945a0","2019-02-07"
"5c8c255fe3df53b","2019-11-14"
"e228b8176fc2b70","2019-11-13"
"92cdb029788d174","2019-10-10"
"a75c48ca3d630a7","2019-03-25"
"5cc97fa50bd83a5","2019-07-19"
"7927f715a88e309","2019-11-22"
"80ca4fc3cfec4c6","2019-08-15"
"d498b134751a8e0","2019-05-22"
"3a6887a3f362a78","2019-04-30"
"be065349b4f2624","2019-05-10"
"0dfdfcc0cbda4ed","2019-01-08"
"1840aacaafd5d5c","2019-10-17"
"819d511f53f2ffd","2019-09-24"
"90760dcefbc2b50","2019-08-26"
"d89f857e6020908","2019-09-20"
"23ffe85c505d06c","2019-06-27"
"149308eb4bbfe6b","2019-08-02"
"6d2853952f30009","2019-11-04"
"98381293d6b2a1e","2019-01-03"
"9ae01eae2d25e3b","2019-08-05"
"391ad42a0d5a3bf","2019-10-04"
"cce5adae692495e","2019-05-13"
"9d5bcad76f3ae60","2019-07-01"
"316096e83602662","2019-12-15"
"e1ff03462adf692","2019-08-21"
"76a9589020e21de","2019-10-28"
"6093e3f6cdbb600","2019-06-28"
"a6ddd83cce9433b","2019-12-23"
"b417157f0aeb326","2019-07-26"
"4d01dfb0312d68a","2019-01-11"
"02c0a1a6a6dbd03","2019-09-17"
"da5d198fd009de8","2019-08-02"
"317dab43a81e40c","2019-09-11"
"49c495932d71f5d","2019-07-11"
"000711b04f50795","2019-02-05"
"6907fb149e40062","2019-05-17"
"5142aa3b8329712","2019-05-10"
"9e870620db0b877","2019-07-26"
"32c21be68d4278a","2019-06-07"
"7c1e7ab7d709997","2019-05-30"
"cb8a71b238b6945","2019-03-21"
"a8d19e8391e8b99","2019-04-02"
"f91ea121042429a","2019-04-05"
"6ceb31fcabf0201","2019-10-21"
"d89f857e6020908","2019-11-22"
"c1c115a61b99e44","2019-02-13"
"b7ca7bc752af58b","2019-05-16"
"000711b04f50795","2019-03-13"
"61b415d93243ca9","2019-12-11"
"53b46b94e05a138","2019-08-19"
"0663c8ba6619158","2019-06-26"
"dc7fd8535093c50","2019-09-05"
"0115bf23967b361","2019-09-06"
"afc283f2aa7f559","2019-08-05"
"a8a922925dec52e","2019-07-17"
"cfa16f49d1de7c5","2019-11-09"
"6500326ed9624ee","2019-03-22"
"a2b03c77830b418","2019-02-25"
"8d031bf0624987b","2019-09-23"
"38c02f94fc371a6","2019-06-07"
"3f0270796ab636b","2019-06-11"
"4cc022986634530","2019-09-29"
"2c010e514caa861","2019-04-26"
"2c010e514caa861","2019-03-22"
"5c8c255fe3df53b","2019-02-28"
"a75c48ca3d630a7","2019-08-01"
"99113a704e01c5c","2019-12-10"
"6c5ee168ab6de80","2019-02-27"
"121457db135dfc4","2019-08-19"
"819d511f53f2ffd","2019-07-10"
"819d511f53f2ffd","2019-04-26"
"317dab43a81e40c","2019-09-17"
"f63f6e532ab26ac","2019-03-22"
"55e11c63a45082d","2019-11-12"
"d5bcb7c9f9407cc","2019-12-17"
"c85b0784bc47e91","2019-10-04"
"b3a8d0cf1a9ffc6","2019-03-12"
"6907fb149e40062","2019-10-08"
"03fbb58eca2fc9a","2019-08-15"
"a8d19e8391e8b99","2019-09-13"
"a2b03c77830b418","2019-09-24"
"aa4eea5d7de49db","2019-07-19"
"64477ac76c4248f","2019-10-01"
"36d482e443e234f","2019-08-09"
"d08549eba38b6ef","2019-08-05"
"e78268e3ce3e13c","2019-12-11"
"9f5e337221dd350","2019-10-02"
"d114ceb1421ecae","2019-01-14"
"859139b848feb05","2019-10-07"
"8a5ac3326ce1b2b","2019-09-11"
"05f8efc595a32ef","2019-04-26"
"18a5a778029d9a4","2019-08-02"
"be882688e5a5106","2019-03-11"
"aa4eea5d7de49db","2019-10-26"
"3a6887a3f362a78","2019-09-29"
"4191471e31482e9","2019-11-19"
"3e199442cc1f655","2019-11-29"
"8a62c9acbad04b2","2019-07-08"
"1d92c8d13f9cdd0","2019-06-21"
"69a3a363a4eb884","2019-12-03"
"92d1455816e1299","2019-02-22"
"a33f993f5c5bcd5","2019-08-08"
"617006fc08f4546","2019-07-26"
"b6d3f2ca966c0bc","2019-10-09"
"cb8a71b238b6945","2019-06-05"
"28827d0f617cf46","2019-11-12"
"4e3987d0ce4676d","2019-10-21"
"c71dedbe032c518","2019-09-20"
"62d9d22e01ea8a0","2019-07-18"
"ac5a0cb5f7a4a4c","2019-05-22"
"3e199442cc1f655","2019-10-07"
"83b0dcf7d543094","2019-03-07"
"18a5a778029d9a4","2019-03-29"
"5154b98de2f66df","2019-10-23"
"8df10e9d37af4fb","2019-11-26"
"e78268e3ce3e13c","2019-08-13"
"49c495932d71f5d","2019-10-02"
"98381293d6b2a1e","2019-11-08"
"6811320fc8ecd83","2019-09-20"
"9d5bcad76f3ae60","2019-03-14"
"5d4cfa0ecb376bd","2019-09-11"
"fa88c8fa774d3f5","2019-04-26"
"935571eae38d5a9","2019-07-30"
"e613cd71575e6e6","2019-03-12"
"a75c48ca3d630a7","2019-10-21"
"cfa16f49d1de7c5","2019-07-30"
"d89f857e6020908","2019-11-07"
"317dab43a81e40c","2019-12-26"
"d114ceb1421ecae","2019-07-23"
"a33f993f5c5bcd5","2019-02-28"
"357b649f70201f8","2019-03-01"
"6f8193ba34d7935","2019-07-04"
"766f8212fb89a70","2019-07-23"
"fa88c8fa774d3f5","2019-05-20"
"bde8c4f085c9ce5","2019-05-28"
"1616c94dbd82694","2019-03-07"
"b42fa55d72690d6","2019-09-25"
"4243330e9cfa005","2019-12-19"
"410fd339a50492d","2019-03-12"
"cfbbe47331a68a5","2019-10-01"
"0793555900c09f3","2019-03-22"
"04b524be56b0305","2019-07-23"
"8a964e075913463","2019-11-01"
"7afc90c0778306b","2019-11-08"
"a528da1a771e5db","2019-08-08"
"0a56da551eb0b6e","2019-05-20"
"406fb27151bbaae","2019-05-03"
"9029daa6102941f","2019-08-16"
"58e9bd0a819a989","2019-02-08"
"36d482e443e234f","2019-03-27"
"d89f857e6020908","2019-05-16"
"46a626c8dd00e50","2019-01-05"
"ffbaa8f6d00e413","2019-01-11"
"6d2853952f30009","2019-10-30"
"6d2853952f30009","2019-12-18"
"c85b0784bc47e91","2019-05-31"
"6f8193ba34d7935","2019-05-10"
"6811320fc8ecd83","2019-10-03"
"d26c28df784bc8b","2019-04-05"
"0663c8ba6619158","2019-10-02"
"5ff5587036cec59","2019-10-23"
"bc261cd56bcb545","2019-01-14"
"926a2c68ac452d3","2019-04-19"
"c1a84ad0fee908e","2019-11-07"
"6093e3f6cdbb600","2019-12-29"
"e228b8176fc2b70","2019-10-28"
"58e9bd0a819a989","2019-08-26"
"48a32c4839c7575","2019-06-28"
"39255e8cb0e21ac","2019-09-19"
"617006fc08f4546","2019-02-14"
"617006fc08f4546","2019-06-19"
"6762ef2ff37a63e","2019-08-02"
"99edeef60c308cb","2019-12-12"
"7c1e7ab7d709997","2019-11-20"
"12dd81d6965a4a4","2019-07-26"
"f047f28876f3719","2019-12-03"
"4d01dfb0312d68a","2019-10-25"
"d6fba5a1fab1654","2019-11-08"
"dc7fd8535093c50","2019-11-25"
"aac8171df1bc019","2019-09-19"
