company_id,industry,employee_range
"8f36b68d0949a2c","Software and Technology","1,000 - 4,999"
"a462fc5e66769d8","Telecommunications","1,000 - 4,999"
"b5fb6038a3afe45","Software and Technology","250 - 499"
"a691d2335572b51","Software and Technology","500 - 999"
"a69fc9839946988","Software and Technology","500 - 999"
"b3ab2490ed5d150","Software and Technology","10,000+"
"b5b17b72bb70dc0","Business Services","10,000+"
"0b656555b717e9c","Healthcare and Medical","5,000 - 9,999"
"0c7949493a8b4a0","Software and Technology","1,000 - 4,999"
"12dd81d6965a4a4","Business Services","10,000+"
"1316d3ea193dc90","Software and Technology","1,000 - 4,999"
"177e0af2654a9b4","Software and Technology","250 - 499"
"1840aacaafd5d5c","Software and Technology","5,000 - 9,999"
"18b50132f58c147","Software and Technology","500 - 999"
"1b0f481e0d34837","Software and Technology","250 - 499"
"1c3a5aa593a379f","Financial Services","10,000+"
"1d92c8d13f9cdd0","Software and Technology","250 - 499"
"1e8b82b245de36e","Business Services","10,000+"
"222bb57587262fc","Software and Technology","250 - 499"
"23ffe85c505d06c","Healthcare and Medical","1,000 - 4,999"
"269509d5255fffc","Business Services","50 - 99"
"28827d0f617cf46","Software and Technology","1,000 - 4,999"
"2c010e514caa861","Software and Technology","10,000+"
"2f7949c888999e3","Software and Technology","500 - 999"
"a8594a81d776d41","Software and Technology","250 - 499"
"a8d19e8391e8b99","Software and Technology","10,000+"
"a92f42b1e4915e8","Business Services","10,000+"
"000711b04f50795","Software and Technology","1,000 - 4,999"
"0115bf23967b361","Software and Technology","1,000 - 4,999"
"03b9c5f64f6a57f","Healthcare and Medical","10,000+"
"049fabbd4807a45","Telecommunications","500 - 999"
"05c64e15042e18c","Business Services","1,000 - 4,999"
"0663c8ba6619158","Software and Technology","1,000 - 4,999"
"61b415d93243ca9","Software and Technology","100 - 249"
"62950860631fbbf","Financial Services","10,000+"
"62b334b48e4f216","Software and Technology","500 - 999"
"64477ac76c4248f","Software and Technology","100 - 249"
"6489ea0bb7c2cc4","Software and Technology","1,000 - 4,999"
"67118bd26384cfa","Software and Technology","1,000 - 4,999"
"68d91a8c737c367","Software and Technology","100 - 249"
"6907fb149e40062","Software and Technology","10,000+"
"6c5ee168ab6de80","Real Estate","5,000 - 9,999"
"7280492e0fce671","Business Services","250 - 499"
"74bb75b9c62d16f","Software and Technology","100 - 249"
"926a2c68ac452d3","Software and Technology","100 - 249"
"92cdb029788d174","Software and Technology","100 - 249"
"96a801c9959eb6f","Software and Technology","250 - 499"
"9ae01eae2d25e3b","Software and Technology","1,000 - 4,999"
"9c57856b693f1de","Biotech","10,000+"
"9d5bcad76f3ae60","Software and Technology","250 - 499"
"9f5e337221dd350","Software and Technology","500 - 999"
"a145504d4f62960","Software and Technology","1,000 - 4,999"
"a3aa05edec9446c","Retail and Distribution","10,000+"
"3ad801528dcbf71","Business Services","10,000+"
"404128e57a359e0","Software and Technology","1,000 - 4,999"
"406fb27151bbaae","Telecommunications","1,000 - 4,999"
"40af2f1c1e3c627","Software and Technology","500 - 999"
"460ba89da10817e","Software and Technology","500 - 999"
"4c112a2277352b4","Software and Technology","1,000 - 4,999"
"04b524be56b0305","Software and Technology","500 - 999"
"4037e60754e3d95","Software and Technology","1,000 - 4,999"
"458fe1e868f76cf","Software and Technology","20 - 49"
"c3155de6f982af3","Software and Technology","1,000 - 4,999"
"cb553e80407132b","Pharmaceuticals","1,000 - 4,999"
"010b5f5ccb5a2cc","Business Services","100 - 249"
"0145b6334d6dcdd","Software and Technology","250 - 499"
"0182ba3a7547bc9","Software and Technology","500 - 999"
"01c9df47d90d4d0","Software and Technology","100 - 249"
"6c0367c0ec80b87","Business Services","1,000 - 4,999"
"6da5545be6d7836","Financial Services","1,000 - 4,999"
"70869f13b6164c0","Software and Technology","250 - 499"
"718bafe8e41f34e","Software and Technology","100 - 249"
"7468e537ce60319","Business Services","250 - 499"
"798a91619bcf284","Hardware","10,000+"
"be972a1467dfad7","Business Services","1,000 - 4,999"
"c1928be2bbbce96","Software and Technology","500 - 999"
"c27a8d94d1c057c","Software and Technology","100 - 249"
"061fa502c802bdd","Business Services","1,000 - 4,999"
"4e3987d0ce4676d","Real Estate","100 - 249"
"4f7cf9fb70adf80","Software and Technology","500 - 999"
"4f99a93facdaeb8","Business Services","100 - 249"
"5142aa3b8329712","Business Services","10,000+"
"530ebde876ed689","Business Services","20 - 49"
"583b926e3c0199d","Telecommunications","10,000+"
"5c8c255fe3df53b","Software and Technology","100 - 249"
"6093e3f6cdbb600","Software and Technology","250 - 499"
"a8146fe11c7c286","Software and Technology","1,000 - 4,999"
"a87c1f8070aced5","Healthcare and Medical","10,000+"
"a8a922925dec52e","Software and Technology","500 - 999"
"aa4eea5d7de49db","Software and Technology","250 - 499"
"aac43e5ac87e2a3","Healthcare and Medical","250 - 499"
"b417157f0aeb326","Software and Technology","500 - 999"
"b7b2379ef1964a0","Software and Technology","1,000 - 4,999"
"d3ab1620482c762","Business Services","10,000+"
"d4975e3bde33c87","Business Services","50 - 99"
"d4c3ac7dca86eef","Software and Technology","500 - 999"
"d6fabb2c34a6e57","Manufacturing","1,000 - 4,999"
"df217611017f792","Telecommunications","10,000+"
"df5ba6acf62b6b9","Software and Technology","1,000 - 4,999"
"e228b8176fc2b70","Software and Technology","1,000 - 4,999"
"e662d9de1fa535e","Software and Technology","1,000 - 4,999"
"35b038f19232590","Software and Technology","50 - 99"
"378e30f9a8e98de","Financial Services","250 - 499"
"384ad2304de8f1c","Software and Technology","50 - 99"
"389bddde404451a","Business Services","500 - 999"
"3903db9db996a3d","Software and Technology","250 - 499"
"436e14c59efb4e5","Hospitality and Travel","10,000+"
"4678fc870ffa271","Business Services","1,000 - 4,999"
"cf3be48089ef26e","Software and Technology","1,000 - 4,999"
"d01d793df9f1753","Software and Technology","1,000 - 4,999"
"fcc616f820810a1","Financial Services","10,000+"
"fe6899683c97d28","Business Services","1,000 - 4,999"
"a725fd985969236","Business Services","10,000+"
"ad51258424b21b3","Software and Technology","250 - 499"
"b05b7528af7218e","Software and Technology","1,000 - 4,999"
"b167e7a37523521","Software and Technology","100 - 249"
"b42fa55d72690d6","Software and Technology","250 - 499"
"b62b2387e1341d3","Telecommunications","1,000 - 4,999"
"ee336c9a6f525f4","Software and Technology","1,000 - 4,999"
"f23c18308015dd8","Software and Technology","10,000+"
"f50b6cb3d339cc8","Financial Services","1,000 - 4,999"
"f6a4af52c3d7bd4","Software and Technology","50 - 99"
"fa6950cd4d92562","Software and Technology","50 - 99"
"65aafd83534e938","Software and Technology","100 - 249"
"687392ceaa078b1","Software and Technology","250 - 499"
"6bbcbf79c78c413","Software and Technology","250 - 499"
"6df74d9fb710b70","Automotive","10,000+"
"6eb433b1cd93b36","Software and Technology","1,000 - 4,999"
"6f0758b26e3489d","Business Services","250 - 499"
"731795e3cc92c8e","Software and Technology","100 - 249"
"732d8a327bea2ff","Software and Technology","500 - 999"
"73e5a22e535d125","Software and Technology","500 - 999"
"7597fb4bfe80a2e","Software and Technology","500 - 999"
"780be51815fa258","Hospitality and Travel","1,000 - 4,999"
"1ee9e6750420b82","Business Services","1,000 - 4,999"
"200c9fb51a35832","Business Services","10,000+"
"27f479218fe69d0","Software and Technology","250 - 499"
"2cdcc7856a8fc9c","Software and Technology","100 - 249"
"2d4ee7a538d375a","Software and Technology","50 - 99"
"304561c3e814f82","Business Services","1,000 - 4,999"
"76ef6a7c94c83e1","Telecommunications","250 - 499"
"77a9395d4bb0498","Manufacturing","10,000+"
"7d0ce605f55f2b3","Software and Technology","100 - 249"
"82c7031f4516f6d","Business Services","250 - 499"
"875015b8fa51f35","Healthcare and Medical","10,000+"
"8a964e075913463","Financial Services","10,000+"
"8ad8a441442554a","Business Services","500 - 999"
"8ccaa4cf23a8a92","Healthcare and Medical","10,000+"
"0ae5cde81b661bd","Software and Technology","250 - 499"
"0bd4029e2428f33","Software and Technology","250 - 499"
"0c99770a75d5fec","Software and Technology","100 - 249"
"0f7be5c4eae2c4a","Financial Services","5,000 - 9,999"
"15bed827315e969","Software and Technology","1,000 - 4,999"
"18ccbcb248bf46f","Software and Technology","500 - 999"
"1beef3a9da237b2","Software and Technology","1,000 - 4,999"
"4fd7d8ce6fc2001","Software and Technology","1,000 - 4,999"
"536336ed62110a6","Hardware","500 - 999"
"5408b7f01f8cf41","Software and Technology","1,000 - 4,999"
"56d335daba65957","Software and Technology","500 - 999"
"56dbb3af52dc59e","Software and Technology","500 - 999"
"5cddc0b68f8cbfb","Software and Technology","100 - 249"
"5ee0205233ef89f","Software and Technology","100 - 249"
"60c2b6bb0e98279","Software and Technology","250 - 499"
"9a9c7578797bf6e","Software and Technology","250 - 499"
"9baeac80552be0d","Healthcare and Medical","10,000+"
"9c4d6cf6ea456f0","Hardware","10,000+"
"a1631fb70abe06e","Software and Technology","500 - 999"
"a279698f46f1840","Business Services","1,000 - 4,999"
"03566dfd768c564","Software and Technology","1,000 - 4,999"
"0480842565270bc","Software and Technology","100 - 249"
"04852d4c89e2108","Business Services","100 - 249"
"05ee239c0dfc5b8","Business Services","1,000 - 4,999"
"4d9929b139593e7","Software and Technology","1,000 - 4,999"
"54673371fad09c4","Software and Technology","1,000 - 4,999"
"5ab2dfe276f4848","Software and Technology","500 - 999"
"5bd03a8686553e0","Business Services","500 - 999"
"5c29233619b2481","Business Services","1,000 - 4,999"
"5cd7d95fb63f9f6","Software and Technology","5,000 - 9,999"
"6345a801ef561e3","Software and Technology","500 - 999"
"919505745bc1c28","Business Services","10,000+"
"9499ad02cd3b127","Business Services","5,000 - 9,999"
"95bef87580506ba","Telecommunications","250 - 499"
"98092e2846c5787","Business Services","50 - 99"
"9b3a1776a73eacc","Software and Technology","100 - 249"
"9df0d71820cad12","Software and Technology","100 - 249"
"a1dfe191d46f70c","Business Services","500 - 999"
"a3f534653feadb7","Hardware","500 - 999"
"ffb7146bec8a6fa","Software and Technology","1,000 - 4,999"
"a4aa94a29bf6931","Hardware","10,000+"
"a528da1a771e5db","Software and Technology","100 - 249"
"a6db856a30d5bae","Software and Technology","1,000 - 4,999"
"ac2e6ee9d78b7e3","Business Services","100 - 249"
"ac52ebc4ea501e4","Hardware","10,000+"
"ad34334cba72c0f","Software and Technology","1,000 - 4,999"
"af7409defd61c2c","Software and Technology","1,000 - 4,999"
"b7295b4be30969a","Financial Services","10,000+"
"b768a2856db3626","Financial Services","1,000 - 4,999"
"b7a848dedb456d5","Software and Technology","1,000 - 4,999"
"20764a62baca5b0","Software and Technology","5,000 - 9,999"
"26a4dff161c341c","Business Services","10,000+"
"29b4307f95e3f4f","Software and Technology","100 - 249"
"2a9b2a5e7ff028b","Software and Technology","100 - 249"
"339d01c320ab4bc","Software and Technology","500 - 999"
"6428ce79ddd8275","Software and Technology","100 - 249"
"66bbfaaf43aa161","Telecommunications","1,000 - 4,999"
"69bfad5103870c0","Software and Technology","20 - 49"
"6ba4f662121ed9a","Software and Technology","100 - 249"
"759f361a9fa6ebb","Business Services","500 - 999"
"766120613ecaf74","Business Services","10,000+"
"aa98c811ff052d2","Business Services","10,000+"
"adc80a5e816df20","Business Services","10,000+"
"b170f108a2eae2e","Software and Technology","1,000 - 4,999"
"b7f157308659d6c","Software and Technology","500 - 999"
"b866a6cb2396adc","Media and Entertainment","1,000 - 4,999"
"1dec99cf21f27e0","Software and Technology","100 - 249"
"1e74f5123fa1263","Software and Technology","250 - 499"
"20438453e0a4d01","Software and Technology","500 - 999"
"26bb4fc35dcd807","Software and Technology","1,000 - 4,999"
"7a1aa152bf1ebf7","Business Services","100 - 249"
"7ec70cae034df74","Software and Technology","100 - 249"
"823a856bee0e0ac","Software and Technology","250 - 499"
"825435802cf2cb6","Software and Technology","1,000 - 4,999"
"8533531ad701a4f","Business Services","250 - 499"
"86c91f7a49971d1","Software and Technology","1,000 - 4,999"
"8e014d91f315522","Software and Technology","10 - 19"
"8f2886a8638c5f9","Real Estate","10,000+"
"c39e8b7645bdafa","Business Services","500 - 999"
"c507ba1b311bb83","Software and Technology","500 - 999"
"c62e72d590019f0","Software and Technology","100 - 249"
"cfbbe47331a68a5","Software and Technology","1,000 - 4,999"
"0346ebc04bda8ea","Business Services","1,000 - 4,999"
"0400c6144ba079f","Software and Technology","1,000 - 4,999"
"04e39d43ae8d125","Business Services","100 - 249"
"05ff722210a2150","Software and Technology","500 - 999"
"8f894db43badf75","Transportation and Logistics","1,000 - 4,999"
"9117bbeaf36276b","Automotive","10,000+"
"912a5b9ed145e09","Transportation and Logistics","1,000 - 4,999"
"921dabe84d0c995","Business Services","1,000 - 4,999"
"9338972d79a53e8","Software and Technology","250 - 499"
"95274815f8363ee","Retail and Distribution","10,000+"
"9d95b562c8aee95","Software and Technology","1,000 - 4,999"
"a114c37051efd81","Software and Technology","50 - 99"
"a4f4c80a95c68fa","Software and Technology","100 - 249"
"d1ee16950f9e6a0","Construction","10,000+"
"d2983ec27af53cd","Business Services","10,000+"
"d90b717bbcbd9f7","Business Services","1,000 - 4,999"
"dca0499cadef129","Software and Technology","500 - 999"
"dd4d2457d2988cd","Software and Technology","100 - 249"
"dec011722127aaf","Software and Technology","100 - 249"
"dec55b8f6e1d51d","Software and Technology","1,000 - 4,999"
"e21454ddd98bf67","Software and Technology","1,000 - 4,999"
"e32b50cb3963da0","Software and Technology","500 - 999"
"357b649f70201f8","Software and Technology","250 - 499"
"38c02f94fc371a6","Software and Technology","500 - 999"
"3b385c300834b3e","Software and Technology","500 - 999"
"3f0270796ab636b","Software and Technology","250 - 499"
"41f40cc0847fc59","Financial Services","5,000 - 9,999"
"48da83ced9379ed","Financial Services","1,000 - 4,999"
"49c495932d71f5d","Software and Technology","1,000 - 4,999"
"819d511f53f2ffd","Software and Technology","1,000 - 4,999"
"859139b848feb05","Biotech","100 - 249"
"a97b486ac28f4d8","Software and Technology","100 - 249"
"ab992b5d89eae05","Software and Technology","500 - 999"
"afc283f2aa7f559","Software and Technology","250 - 499"
"a6ddd83cce9433b","Software and Technology","5,000 - 9,999"
"b2386461fa3a8d6","Software and Technology","250 - 499"
"b30eb82ed25524a","Software and Technology","250 - 499"
"b46fe94115bd452","Business Services","100 - 249"
"b6d3f2ca966c0bc","Software and Technology","10,000+"
"b7ca7bc752af58b","Software and Technology","10,000+"
"ed8d89679545784","Software and Technology","5,000 - 9,999"
"ef595dcdb04686d","Business Services","100 - 249"
"f02bb36b6f8ebd6","Hardware","10,000+"
"f29cb92d90f439c","Business Services","5,000 - 9,999"
"f63f6e532ab26ac","Business Services","10,000+"
"f81b2f07313126f","Software and Technology","100 - 249"
"f9e094a41e6b4d4","Financial Services","10,000+"
"fa88c8fa774d3f5","Business Services","250 - 499"
"fac7deb6948b042","Business Services","1,000 - 4,999"
"fbffe2fd718abbb","Software and Technology","500 - 999"
"3a91832ca387b69","Hardware","5,000 - 9,999"
"3b07436636e5afa","Software and Technology","50 - 99"
"3ed3e9385c3ddff","Software and Technology","250 - 499"
"46a626c8dd00e50","Software and Technology","50 - 99"
"48a32c4839c7575","Software and Technology","500 - 999"
"d89f857e6020908","Software and Technology","10,000+"
"dc7fd8535093c50","Software and Technology","250 - 499"
"dd32bf1fa1eebb4","Retail and Distribution","10,000+"
"e4363137ee96615","Printing and Publishing","1,000 - 4,999"
"f91ea121042429a","Business Services","10,000+"
"61e1534eb30e5da","Software and Technology","100 - 249"
"63d12bf507787e4","Telecommunications","500 - 999"
"6762ef2ff37a63e","Software and Technology","1,000 - 4,999"
"6811320fc8ecd83","Software and Technology","1,000 - 4,999"
"683068ebdce149f","Software and Technology","100 - 249"
"69a3a363a4eb884","Financial Services","100 - 249"
"6a01afb165d1914","Business Services","5,000 - 9,999"
"6c1174366e26812","Software and Technology","500 - 999"
"6ceb31fcabf0201","Software and Technology","500 - 999"
"6d8b1bc6e71fa0f","Telecommunications","250 - 499"
"6e44e2f152682e7","Software and Technology","1,000 - 4,999"
"73b722610427404","Software and Technology","250 - 499"
"bd632b7389c0e40","Business Services","10,000+"
"be065349b4f2624","Software and Technology","100 - 249"
"c71dedbe032c518","Software and Technology","50 - 99"
"cc5746fb4974beb","Software and Technology","1,000 - 4,999"
"cce5adae692495e","Software and Technology","1,000 - 4,999"
"cf00892c4776f87","Software and Technology","1,000 - 4,999"
"d08549eba38b6ef","Software and Technology","250 - 499"
"d114ceb1421ecae","Software and Technology","5,000 - 9,999"
"04c7d15834c0fad","Software and Technology","1,000 - 4,999"
"0594a4dd457488d","Software and Technology","1,000 - 4,999"
"06559a695c3cc41","Software and Technology","100 - 249"
"935571eae38d5a9","Telecommunications","250 - 499"
"9757b3062f066b6","Software and Technology","100 - 249"
"a2b03c77830b418","Software and Technology","1,000 - 4,999"
"a31c7a2977ab05b","Software and Technology","500 - 999"
"a33f993f5c5bcd5","Software and Technology","500 - 999"
"ecb42018fe19db6","Software and Technology","250 - 499"
"eef1c9da81ef446","Business Services","1,000 - 4,999"
"f047f28876f3719","Software and Technology","250 - 499"
"f151062573d326a","Software and Technology","100 - 249"
"f2fae777ec473ec","Software and Technology","100 - 249"
"f8da651bbe4c041","Software and Technology","100 - 249"
"fc9d9436161e0b2","Software and Technology","1,000 - 4,999"
"1ee74719c143483","Pharmaceuticals","10,000+"
"241a1be26aa00ad","Software and Technology","500 - 999"
"2687ca4c9840376","Software and Technology","1,000 - 4,999"
"2aee156988349d7","Financial Services","250 - 499"
"2de6de39e39f7dd","Business Services","500 - 999"
"2df2836b1a0fc5d","Business Services","1,000 - 4,999"
"30c40fba7a6ced5","Software and Technology","100 - 249"
"3367661359746a8","Software and Technology","500 - 999"
"78433deb1f5a863","Software and Technology","100 - 249"
"7b1beb28f1307a0","Education","10,000+"
"841ad2016877266","Software and Technology","500 - 999"
"8a5ac3326ce1b2b","Software and Technology","1,000 - 4,999"
"d5bcb7c9f9407cc","Software and Technology","500 - 999"
"d9314f52954ddd5","Software and Technology","100 - 249"
"dfe61858df5ea60","Software and Technology","100 - 249"
"e68d4f986e75df1","Manufacturing","10,000+"
"0c9af11110ce8e3","Hardware","10,000+"
"160863bf2aabe4a","Automotive","10,000+"
"18a5a778029d9a4","Software and Technology","10,000+"
"7c1e7ab7d709997","Hardware","5,000 - 9,999"
"8a62c9acbad04b2","Software and Technology","250 - 499"
"000MISSING","N/A","N/A"
"00e2daf8ea367f4","Software and Technology","10,000+"
"02bc52632bd5043","Software and Technology","100 - 249"
"05802537f71c80a","Software and Technology","250 - 499"
"05f8efc595a32ef","Software and Technology","100 - 249"
"7e96f9770558834","Business Services","250 - 499"
"80ca4fc3cfec4c6","Software and Technology","500 - 999"
"83b0dcf7d543094","Manufacturing","10,000+"
"86253a728860c25","Software and Technology","500 - 999"
"8bae11374ba7a74","Software and Technology","250 - 499"
"8bfa65208a797f3","Software and Technology","50 - 99"
"d498b134751a8e0","Hardware","10,000+"
"d6fba5a1fab1654","Telecommunications","1,000 - 4,999"
"d9fe39d8be1f477","Software and Technology","500 - 999"
"e1ff03462adf692","Software and Technology","1,000 - 4,999"
"1fd5b2a49f767e9","Software and Technology","100 - 249"
"24be520c5025beb","Telecommunications","100 - 249"
"27ee031cea24781","Software and Technology","5,000 - 9,999"
"30459b843820b7b","Software and Technology","1,000 - 4,999"
"316096e83602662","Software and Technology","500 - 999"
"32c21be68d4278a","Software and Technology","100 - 249"
"337b43c4f5c0fb8","Business Services","500 - 999"
"977c134b50e6e6f","Financial Services","500 - 999"
"9849381f8b98d1e","Software and Technology","500 - 999"
"99113a704e01c5c","Software and Technology","5,000 - 9,999"
"99edeef60c308cb","Business Services","100 - 249"
"9e870620db0b877","Software and Technology","100 - 249"
"ffbaa8f6d00e413","Software and Technology","250 - 499"
"e90083322c6f22f","Software and Technology","10,000+"
"eef527fa2cb7581","Software and Technology","50 - 99"
"f58dae9439b921d","Software and Technology","1,000 - 4,999"
"fbae05c1a7c1ac6","Software and Technology","1,000 - 4,999"
"36d482e443e234f","Software and Technology","1,000 - 4,999"
"39255e8cb0e21ac","Software and Technology","100 - 249"
"395e6651e1fdbe1","Software and Technology","10,000+"
"3a6887a3f362a78","Software and Technology","10,000+"
"3aad0f206a576eb","Software and Technology","50 - 99"
"4197e26457e7485","Software and Technology","100 - 249"
"43da9b36b80da4e","Software and Technology","500 - 999"
"362afe017d79ae5","Financial Services","10,000+"
"391ad42a0d5a3bf","Business Services","1,000 - 4,999"
"39925531f5588dc","Retail and Distribution","10,000+"
"3fa741ce2544a63","Business Services","1,000 - 4,999"
"4191471e31482e9","Software and Technology","100 - 249"
"bf6bda35779ae83","Business Services","1,000 - 4,999"
"c5f5db311cba340","Software and Technology","1,000 - 4,999"
"cc63a5256b723d2","Manufacturing","10,000+"
"cd1d9c612d6fdf1","Software and Technology","1,000 - 4,999"
"cea00a06edb0803","Business Services","1,000 - 4,999"
"d26c28df784bc8b","Software and Technology","1,000 - 4,999"
"113d1733e8751a2","Business Services","500 - 999"
"11752bf9ae2ae8c","Software and Technology","10,000+"
"1600a5c22dbd51a","Business Services","500 - 999"
"183ba805af862a0","Software and Technology","1,000 - 4,999"
"1915bb5acf3c220","Business Services","100 - 249"
"1a589a8a3167816","Business Services","10,000+"
"1ac0e56eed772c7","Software and Technology","500 - 999"
"4a2a84348c34224","Business Services","5,000 - 9,999"
"4cc022986634530","Software and Technology","250 - 499"
"4db9bc957b2151b","Financial Services","10,000+"
"5033215aad31491","Financial Services","5,000 - 9,999"
"51925186a200f89","Business Services","10,000+"
"51dc81f33bde1bd","Software and Technology","20 - 49"
"536bc93d1e8b67f","Software and Technology","100 - 249"
"53b46b94e05a138","Software and Technology","250 - 499"
"5cbe431c1ab56d7","Business Services","10,000+"
"5cc97fa50bd83a5","Software and Technology","1,000 - 4,999"
"5ff5587036cec59","Business Services","500 - 999"
"60db5e02e957d40","Software and Technology","100 - 249"
"a75c48ca3d630a7","Software and Technology","500 - 999"
"aac8171df1bc019","Software and Technology","500 - 999"
"ac5a0cb5f7a4a4c","Software and Technology","10,000+"
"b3a8d0cf1a9ffc6","Business Services","10,000+"
"b6e40cf78e7beb5","Financial Services","10,000+"
"b867a872a9ba243","Business Services","1,000 - 4,999"
"1fc52f0f3fb4b7a","Biotech","10,000+"
"211989422421d49","Business Services","500 - 999"
"2a44e86a18dcc14","Software and Technology","5,000 - 9,999"
"30af275bf18e738","Software and Technology","100 - 249"
"317dab43a81e40c","Software and Technology","100 - 249"
"8e7ddd118e7320b","Software and Technology","250 - 499"
"90760dcefbc2b50","Hardware","500 - 999"
"925780abd60a74f","Manufacturing","100 - 249"
"92d1455816e1299","Software and Technology","1,000 - 4,999"
"9572419cbc57bc7","Software and Technology","250 - 499"
"98381293d6b2a1e","Software and Technology","250 - 499"
"9bae3b5c7deb1b4","Telecommunications","10,000+"
"9c0cf2ceea7dcc8","Hardware","1,000 - 4,999"
"9d00358d0f674ef","Business Services","250 - 499"
"9fbc743b5973eec","Software and Technology","100 - 249"
"d4c898441c8b484","Software and Technology","100 - 249"
"d888f8020ca99e7","Software and Technology","5,000 - 9,999"
"d8c2ef27475b41e","Software and Technology","250 - 499"
"da5d198fd009de8","Software and Technology","1,000 - 4,999"
"dace328d4fd5d3a","Biotech","10,000+"
"dbeaac85863c577","Software and Technology","100 - 249"
"e613cd71575e6e6","Business Services","10,000+"
"e76ff98cb9945a0","Telecommunications","250 - 499"
"e78268e3ce3e13c","Hardware","5,000 - 9,999"
".562274f7bb2434b","Telecommunications","10,000+"
"01cc3383a530890","Software and Technology","1,000 - 4,999"
"0226b29725833e3","Software and Technology","5,000 - 9,999"
"05d7fa5aa84c693","Business Services","10,000+"
"0793555900c09f3","Manufacturing","10,000+"
"34688cbb0f5f570","Software and Technology","100 - 249"
